Protein	G_niphandrodes_count
XP_011132280.1 calcium/calmodulin-dependent pro...	1
XP_011132279.1 putative transmembrane protein	1
XP_011132278.1 O-acyltransferase	1
XP_011132277.1 putative transmembrane protein	1
XP_011132276.1 hypothetical protein GNI_133350	1
XP_011132275.1 protein kinase domain protein	1
XP_011132274.1 hypothetical protein GNI_133330	1
XP_011132248.1 hypothetical protein GNI_133070	1
XP_011132247.1 hypothetical protein GNI_133060	1
XP_011132246.1 hypothetical protein GNI_133050	1
XP_011132245.1 hypothetical protein GNI_133040	1
XP_011132220.1 hypothetical protein GNI_132520	1
XP_011132219.1 putative DUF895 domain protein	1
XP_011132218.1 hypothetical protein GNI_132500	1
XP_011132217.1 putative UDP-N-acetyl-D-galactos...	1
XP_011132216.1 ricin-type beta-trefoil lectin d...	1
XP_011132215.1 putative ubiquitin activating en...	1
XP_011132214.1 fructose-bisphosphate aldolase	1
XP_011132213.1 hypothetical protein GNI_132360,...	1
XP_011132212.1 putative SIN-like protein	1
XP_011132211.1 putative ubiquitin-activating en...	1
XP_011132210.1 cyclin-dependent protein kinase	1
XP_011132209.1 putative eukaryotic and archaeal...	1
XP_011132208.1 cation efflux family protein	1
XP_011132207.1 hypothetical protein GNI_132300	1
XP_011132206.1 hypothetical protein GNI_132290,...	1
XP_011132205.1 putative transmembrane protein	1
XP_011132204.1 hypothetical protein GNI_132180	1
XP_011132203.1 hypothetical protein GNI_132170	1
XP_011132202.1 hypothetical protein GNI_132070,...	1
XP_011132201.1 hypothetical protein GNI_132060	1
XP_011132200.1 histidine phosphatase superfamil...	1
XP_011132221.1 putative histone-binding protein	1
XP_011132222.1 hypothetical protein GNI_132540	1
XP_011132223.1 hypothetical protein GNI_132550	1
XP_011132235.1 hypothetical protein GNI_132760,...	1
XP_011132244.1 putative transmembrane protein	1
XP_011132243.1 soluble inorganic pyrophosphatase	1
XP_011132242.1 bromodomain domain protein	1
XP_011132241.1 hypothetical protein GNI_132910	1
XP_011132240.1 putative transmembrane protein	1
XP_011132239.1 DnaJ domain protein	1
XP_011132238.1 hypothetical protein GNI_132880	1
XP_011132237.1 putative transmembrane protein	1
XP_011132236.1 hypothetical protein GNI_132860	1
XP_011132234.1 hypothetical protein GNI_132660,...	1
XP_011132224.1 hypothetical protein GNI_132560	1
XP_011132233.1 AAA domain protein	1
XP_011132232.1 WD40 associated region in TFIID ...	1
XP_011132231.1 methionine aminopeptidase	1
XP_011132230.1 small nuclear ribonucleoprotein F	1
XP_011132229.1 small GTPase family Rab subfamil...	1
XP_011132228.1 hypothetical protein GNI_132600	1
XP_011132227.1 adaptor complexes medium subunit...	1
XP_011132226.1 putative nucleolar protein 10	1
XP_011132225.1 hypothetical protein GNI_132570	1
XP_011132295.1 hypothetical protein GNI_133630	1
XP_011132296.1 hypothetical protein GNI_133640	1
XP_011132297.1 hypothetical protein GNI_133650	1
XP_011132346.1 hypothetical protein GNI_134610	1
XP_011132368.1 SET domain protein	1
XP_011132367.1 hypothetical protein GNI_135090	1
XP_011132366.1 DnaJ domain protein	1
XP_011132365.1 hypothetical protein GNI_135070	1
XP_011132364.1 hypothetical protein GNI_135060	1
XP_011132363.1 hypothetical protein GNI_135050	1
XP_011132362.1 putative transmembrane protein	1
XP_011132361.1 DNA polymerase	1
XP_011132360.1 putative glutathione S-transferase	1
XP_011132359.1 adenine phosphoribosyltransferase	1
XP_011132358.1 aluminum activated malate transp...	1
XP_011132357.1 putative carrier domain protein	1
XP_011132356.1 putative beta-catenin-like prote...	1
XP_011132355.1 hypothetical protein GNI_134880	1
XP_011132354.1 carbohydrate-binding module fami...	1
XP_011132353.1 hypothetical protein GNI_134770,...	1
XP_011132352.1 hypothetical protein GNI_134760	1
XP_011132351.1 putative ribosomal protein L7A	1
XP_011132350.1 guanylate kinase	1
XP_011132349.1 hypothetical protein GNI_134730	1
XP_011132348.1 hypothetical protein GNI_134720	1
XP_011132369.1 putative transcription factor SSL1	1
XP_011132370.1 aldo/keto reductase	1
XP_011132371.1 putative nuclear migration nudc ...	1
XP_011132383.1 hypothetical protein GNI_135520	1
XP_011132392.1 putative transmembrane protein	1
XP_011133185.1 hypothetical protein GNI_165520	1
XP_011132390.1 Sec1 family protein	1
XP_011132389.1 Sec1 family protein	1
XP_011132388.1 hypothetical protein GNI_135660	1
XP_011132387.1 glycosyltransferase family 2 pro...	1
XP_011132386.1 MJ0570-related domain protein	1
XP_011132385.1 hypothetical protein GNI_135630	1
XP_011132384.1 hypothetical protein GNI_135530,...	1
XP_011132382.1 hypothetical protein GNI_135510	1
XP_011132372.1 60S ribosomal protein L12	1
XP_011132381.1 hypothetical protein GNI_135410	1
XP_011132380.1 hypothetical protein GNI_135310	1
XP_011132379.1 hypothetical protein GNI_135210	1
XP_011132378.1 hypothetical protein GNI_135200	1
XP_011132377.1 actin	1
XP_011132376.1 dihydrolipoyl dehydrogenase	1
XP_011132375.1 putative nascent polypeptide-ass...	1
XP_011132374.1 hypothetical protein GNI_135160	1
XP_011132373.1 VTC domain protein	1
XP_011132347.1 coronin, partial	1
XP_011132345.1 splicing factor 3B subunit	1
XP_011132298.1 hypothetical protein GNI_133660	1
XP_011132344.1 pumilio-family RNA protein	1
XP_011132319.1 60S ribosomal protein L5	1
XP_011132318.1 SAP domain protein	1
XP_011132317.1 S26 family signal peptidase	1
XP_011132316.1 hypothetical protein GNI_134200	1
XP_011132315.1 hypothetical protein GNI_134190	1
XP_011132314.1 BTB/POZ domain protein	1
XP_011132313.1 putative lariat debranching enzyme	1
XP_011132312.1 ATP-dependent DNA helicase, partial	1
XP_011132311.1 hypothetical protein GNI_134060	1
XP_011132310.1 aldo/keto reductase	1
XP_011132309.1 putative NAD-dependent epimerase...	1
XP_011132308.1 14-3-3 family protein	1
XP_011132307.1 putative zinc-binding dehydrogen...	1
XP_011132306.1 hypothetical protein GNI_134010	1
XP_011132305.1 RNA-directed DNA polymerase	1
XP_011132304.1 putative transmembrane protein	1
XP_011132303.1 hypothetical protein GNI_133890	1
XP_011132302.1 putative transmembrane protein	1
XP_011132301.1 calcium/proton exchanger	1
XP_011132300.1 putative transmembrane protein	1
XP_011132299.1 glutathione S-transferase	1
XP_011132320.1 60S ribosomal protein L7A	1
XP_011132321.1 inner membrane complex protein	1
XP_011132322.1 hypothetical protein GNI_134260	1
XP_011132334.1 hypothetical protein GNI_134380	1
XP_011132343.1 hypothetical protein GNI_134580	1
XP_011132342.1 putative transmembrane protein	1
XP_011132341.1 putative transmembrane protein	1
XP_011132340.1 hypothetical protein GNI_134550	1
XP_011132339.1 hypothetical protein GNI_134540	1
XP_011132338.1 hypothetical protein GNI_134430	1
XP_011132337.1 hypothetical protein GNI_134420	1
XP_011132336.1 hypothetical protein GNI_134400	1
XP_011132335.1 hypothetical protein GNI_134390	1
XP_011132333.1 putative transmembrane protein	1
XP_011132323.1 vacuolar (H+)-ATPase G subunit	1
XP_011132332.1 major facilitator superfamily tr...	1
XP_011132331.1 hypothetical protein GNI_134350	1
XP_011132330.1 hypothetical protein GNI_134340	1
XP_011132329.1 hypothetical protein GNI_134330	1
XP_011132328.1 hypothetical protein GNI_134320	1
XP_011132327.1 CocE/NonD family hydrolase	1
XP_011132326.1 hypothetical protein GNI_134300	1
XP_011132325.1 hypothetical protein GNI_134290	1
XP_011132324.1 hypothetical protein GNI_134280	1
XP_011132199.1 RNA methyltransferase	1
XP_011132197.1 protein kinase	1
XP_011132000.1 hypothetical protein GNI_125530	1
XP_011132073.1 glutamate-cysteine ligase, catal...	1
XP_011132071.1 hypothetical protein GNI_128310	1
XP_011132070.1 hypothetical protein GNI_128300	1
XP_011132069.1 hypothetical protein GNI_128290	1
XP_011132068.1 hypothetical protein GNI_128280,...	1
XP_011132067.1 cullin family protein	1
XP_011132066.1 hypothetical protein GNI_128170	1
XP_011132065.1 aspartyl protease	1
XP_011132064.1 integrase core domain protein	1
XP_011132062.1 putative retrovirus polyprotein	1
XP_011132061.1 replication associated protein	1
XP_011132060.1 integrase core domain protein	1
XP_011132059.1 hypothetical protein GNI_127740	1
XP_011132058.1 hypothetical protein GNI_127640	1
XP_011132057.1 aspartate-ammonia ligase	1
XP_011132056.1 protein kinase domain protein	1
XP_011132055.1 hypothetical protein GNI_127520	1
XP_011132054.1 hypothetical protein GNI_127510	1
XP_011132053.1 hypothetical protein GNI_127500	1
XP_011132052.1 hypothetical protein GNI_127490	1
XP_011132051.1 DHHC palmitoyltransferase	1
XP_011132050.1 putative anoctamin	1
XP_011132072.1 CAMP-dependent protein kinase re...	1
XP_011132074.1 Myo-inositol-1-phosphate synthase	1
XP_011132196.1 60S acidic ribosomal protein P0	1
XP_011132075.1 hypothetical protein GNI_128350	1
XP_011132096.1 amine-terminal domain alanine ra...	1
XP_011132095.1 FUN14 family protein	1
XP_011132094.1 NAD(P)-binding rossmann-like dom...	1
XP_011132093.1 inhibitor of apoptosis-promotor	1
XP_011132092.1 inhibitor of apoptosis-promotor ...	1
XP_011132091.1 hypothetical protein GNI_128700	1
XP_011132090.1 calcium-binding EGF domain protein	1
XP_011132089.1 inhibitor of apoptosis-promotor ...	1
XP_011132088.1 putative transmembrane protein	1
XP_011132087.1 hypothetical protein GNI_128660	1
XP_011132086.1 putative zinc finger protein	1
XP_011132085.1 signal recognition particle 14 k...	1
XP_011132084.1 alanyl-tRNA synthetase	1
XP_011132083.1 40S ribosomal protein S20	1
XP_011132082.1 hypothetical protein GNI_128610,...	1
XP_011132081.1 Sir2 family regulator	1
XP_011132080.1 hypothetical protein GNI_128400,...	1
XP_011132079.1 hypothetical protein GNI_128390	1
XP_011132078.1 hypothetical protein GNI_128380	1
XP_011132077.1 thioredoxin	1
XP_011132076.1 26S proteasome regulatory subuni...	1
XP_011132049.1 mago nashi-like protein	1
XP_011132048.1 hypothetical protein GNI_127270	1
XP_011132047.1 hypothetical protein GNI_127260	1
XP_011132046.1 putative bacterial YaeB-like pro...	1
XP_011132021.1 putative 4'-phosphopantetheinyl ...	1
XP_011132020.1 hypothetical protein GNI_126000	1
XP_011132019.1 amino acid permease, partial	1
XP_011132018.1 putative transmembrane protein	1
XP_011132017.1 hypothetical protein GNI_125880	1
XP_011132016.1 putative chaperonin containing T...	1
XP_011132015.1 putative chaperonin containing T...	1
XP_011132014.1 60S ribosomal protein L32	1
XP_011132013.1 putative transmembrane protein	1
XP_011132012.1 hypothetical protein GNI_125830	1
XP_011132011.1 hypothetical protein GNI_125820	1
XP_011132010.1 hypothetical protein GNI_125720	1
XP_011132009.1 hypothetical protein GNI_125710	1
XP_011132008.1 putative long-chain-fatty-acid-C...	1
XP_011132007.1 hypothetical protein GNI_125690	1
XP_011132006.1 hypothetical protein GNI_125680	1
XP_011132005.1 hypothetical protein GNI_125580,...	1
XP_011132004.1 hypothetical protein GNI_125570	1
XP_011132003.1 DNA-directed RNA polymerase	1
XP_011132002.1 glycosyltransferase family protein	1
XP_011132001.1 hypothetical protein GNI_125540	1
XP_011132022.1 hypothetical protein GNI_126110	1
XP_011132023.1 nicotinate phosphoribosyltransfe...	1
XP_011132024.1 putative nicotinate phosphoribos...	1
XP_011132036.1 oxysterol-binding protein	1
XP_011132045.1 hypothetical protein GNI_127150	1
XP_011132044.1 hypothetical protein GNI_127140	1
XP_011132043.1 disulfide isomerase	1
XP_011132042.1 hypothetical protein GNI_127030	1
XP_011132041.1 serine/threonine-protein phospha...	1
XP_011132040.1 hypothetical protein GNI_127010	1
XP_011132039.1 hypothetical protein GNI_127000	1
XP_011132038.1 hypothetical protein GNI_126990	1
XP_011132037.1 hypothetical protein GNI_126980	1
XP_011132035.1 hypothetical protein GNI_126780	1
XP_011132025.1 hypothetical protein GNI_126410,...	1
XP_011132034.1 AAA domain protein	1
XP_011132033.1 putative polynucleotide phosphat...	1
XP_011132032.1 AAA domain protein	1
XP_011132031.1 Maf-like protein	1
XP_011132030.1 protein kinase domain protein	1
XP_011132029.1 hypothetical protein GNI_126540	1
XP_011132028.1 putative transmembrane protein	1
XP_011132027.1 putative transmembrane protein	1
XP_011132026.1 hypothetical protein GNI_126510	1
XP_011132097.1 hypothetical protein GNI_128940	1
XP_011132098.1 G-patch domain protein	1
XP_011132099.1 hypothetical protein GNI_128960,...	1
XP_011132149.1 putative myosin	1
XP_011132171.1 hypothetical protein GNI_131130	1
XP_011132170.1 hypothetical protein GNI_131120	1
XP_011132169.1 putative apicomplexan with signa...	1
XP_011132168.1 double-stranded protein RNA, par...	1
XP_011132167.1 hypothetical protein GNI_131000,...	1
XP_011132166.1 MED7 protein	1
XP_011132165.1 eukaryotic initiation factor 4E	1
XP_011132164.1 hypothetical protein GNI_130970	1
XP_011132163.1 SPX domain protein	1
XP_011132162.1 alpha/beta hydrolase family protein	1
XP_011132161.1 hypothetical protein GNI_130850,...	1
XP_011132160.1 hypothetical protein GNI_130840	1
XP_011132159.1 asparagine synthase	1
XP_011132158.1 hypothetical protein GNI_130820	1
XP_011132157.1 putative protein phosphatase 2C	1
XP_011132156.1 tubulin beta chain	1
XP_011132155.1 hypothetical protein GNI_130790	1
XP_011132154.1 hypothetical protein GNI_130780	1
XP_011132153.1 putative vacuolar sorting ATPase	1
XP_011132152.1 hypothetical protein GNI_130670	1
XP_011132151.1 hypothetical protein GNI_130660	1
XP_011132172.1 putative proteasome 26S regulato...	1
XP_011132173.1 hypothetical protein GNI_131150	1
XP_011132174.1 hypothetical protein GNI_131160	1
XP_011132186.1 putative eukaryotic translation ...	1
XP_011132195.1 L-asparaginase type I	1
XP_011132194.1 hypothetical protein GNI_131900	1
XP_011132193.1 ubiquitin fusion degradation pro...	1
XP_011132192.1 hypothetical protein GNI_131880	1
XP_011132191.1 hypothetical protein GNI_131870	1
XP_011132190.1 hypothetical protein GNI_131860	1
XP_011132189.1 hypothetical protein GNI_131850	1
XP_011132188.1 hypothetical protein GNI_131750,...	1
XP_011132187.1 snRNP Sm family protein, partial	1
XP_011132185.1 3' exoribonuclease family domain...	1
XP_011132175.1 UBX domain protein	1
XP_011132184.1 putative DNA helicase	1
XP_011132183.1 putative transmembrane protein, ...	1
XP_011132182.1 NAC domain protein	1
XP_011132181.1 putative transmembrane protein	1
XP_011132180.1 hypothetical protein GNI_131400,...	1
XP_011132179.1 hypothetical protein GNI_131390,...	1
XP_011132178.1 putative FolC, partial	1
XP_011132177.1 LCCL domain protein	1
XP_011132176.1 putative LCCL domain protein CCP2	1
XP_011132150.1 putative transmembrane protein	1
XP_011132148.1 2-oxoglutarate dehydrogenase E1 ...	1
XP_011132100.1 1,4-alpha-glucan branching enzyme	1
XP_011132147.1 hypothetical protein GNI_130530	1
XP_011132121.1 hypothetical protein GNI_129640	1
XP_011132120.1 putative translocation protein S...	1
XP_011132119.1 RNB-like protein	1
XP_011132118.1 phosphoacetylglucosamine mutase	1
XP_011132117.1 ion channel regulatory protein U...	1
XP_011132116.1 ankyrin repeat protein	1
XP_011132115.1 hypothetical protein GNI_129570	1
XP_011132114.1 ubiquitin carboxyl-terminal hydr...	1
XP_011132113.1 hypothetical protein GNI_129550	1
XP_011132112.1 putative RNA polymerase Rpb1 car...	1
XP_011132111.1 putative transmembrane protein	1
XP_011132110.1 DEAD-box RNA helicase	1
XP_011132109.1 adaptin family protein, partial	1
XP_011132108.1 Zc3h12a-like ribonuclease NYN do...	1
XP_011132107.1 VIT family protein	1
XP_011132106.1 ubiquitin carboxyl-terminal hydr...	1
XP_011132105.1 hypothetical protein GNI_129200	1
XP_011132104.1 putative eukaryotic translation ...	1
XP_011132103.1 hypothetical protein GNI_129180	1
XP_011132102.1 putative ATPase	1
XP_011132101.1 putative oocyst wall protein	1
XP_011132122.1 hypothetical protein GNI_129650	1
XP_011132123.1 putative haloacid dehalogenase-l...	1
XP_011132124.1 putative serine/threonine protei...	1
XP_011132137.1 putative transmembrane protein, ...	1
XP_011132146.1 hypothetical protein GNI_130520	1
XP_011132145.1 hypothetical protein GNI_130510	1
XP_011132144.1 peptidase S8 family domain protein	1
XP_011132143.1 hypothetical protein GNI_130490	1
XP_011132142.1 ubiquitin carboxyl-terminal hydr...	1
XP_011132141.1 ubiquitin carboxyl-terminal hydr...	1
XP_011132140.1 protein kinase domain protein, p...	1
XP_011132139.1 hypothetical protein GNI_130270,...	1
XP_011132138.1 putative transmembrane protein	1
XP_011132136.1 putative transmembrane protein	1
XP_011132126.1 calreticulin family protein	1
XP_011132135.1 hypothetical protein GNI_130140	1
XP_011132134.1 hypothetical protein GNI_130130	1
XP_011132133.1 hypothetical protein GNI_130120	1
XP_011132132.1 hypothetical protein GNI_130110	1
XP_011132131.1 hypothetical protein GNI_130010,...	1
XP_011132130.1 GNAT acetyltransferase 2	1
XP_011132129.1 putative transmembrane protein	1
XP_011132128.1 hypothetical protein GNI_129890	1
XP_011132127.1 choline/ethanolamine kinase	1
XP_011133184.1 hypothetical protein GNI_165420	1
XP_011133188.1 LSM domain protein	1
XP_011133186.1 hypothetical protein GNI_165530	1
XP_011134256.1 26S protease regulatory subunit ...	1
XP_011134254.1 bacterial Ig-like domain protein	1
XP_011134253.1 putative transmembrane protein	1
XP_011134252.1 putative transmembrane protein	1
XP_011134251.1 hypothetical protein GNI_019690	1
XP_011134250.1 hypothetical protein GNI_019680	1
XP_011134249.1 putative transmembrane protein	1
XP_011134248.1 major intrinsic protein	1
XP_011134247.1 DEAD/DEAH box helicase	1
XP_011134246.1 hypothetical protein GNI_019640	1
XP_011134245.1 hypothetical protein GNI_019630	1
XP_011134244.1 DNA polymerase	1
XP_011134243.1 emp24/gp25L/p24 family protein	1
XP_011134242.1 putative tRNA pseudouridine synt...	1
XP_011134241.1 putative exonuclease	1
XP_011134240.1 diphthine synthase	1
XP_011134239.1 sulfite exporter TauE/SafE protein	1
XP_011134238.1 hypothetical protein GNI_019560	1
XP_011134237.1 putative carboxypeptidase	1
XP_011134236.1 putative transmembrane protein	1
XP_011134235.1 hypothetical protein GNI_019520	1
XP_011134234.1 hypothetical protein GNI_019420	1
XP_011134255.1 hypothetical protein GNI_019820	1
XP_011134257.1 AP2 domain protein	1
XP_011134281.1 hypothetical protein GNI_020530	1
XP_011134258.1 hypothetical protein GNI_019850	1
XP_011134279.1 hypothetical protein GNI_020420	1
XP_011134278.1 hypothetical protein GNI_020410	1
XP_011134277.1 RNA recognition motif (A.K.A RRM...	1
XP_011134276.1 RNA recognition motif protein	1
XP_011134275.1 hypothetical protein GNI_020380	1
XP_011134274.1 hypothetical protein GNI_020370	1
XP_011134273.1 putative clathrin heavy chain	1
XP_011134272.1 putative transmembrane protein	1
XP_011134271.1 hypothetical protein GNI_020250	1
XP_011134270.1 hypothetical protein GNI_020240	1
XP_011134269.1 hypothetical protein GNI_020230,...	1
XP_011134268.1 small GTPase family Rab subfamil...	1
XP_011134267.1 hypothetical protein GNI_020120	1
XP_011134266.1 hypothetical protein GNI_020110	1
XP_011134265.1 CobW/P47K family protein	1
XP_011134264.1 putative transmembrane protein	1
XP_011134263.1 hypothetical protein GNI_019990	1
XP_011134262.1 hypothetical protein GNI_019980	1
XP_011134261.1 hypothetical protein GNI_019970	1
XP_011134260.1 putative protein phosphatase 2C	1
XP_011134259.1 hexokinase	1
XP_011134233.1 hypothetical protein GNI_019320	1
XP_011134232.1 hypothetical protein GNI_019220,...	1
XP_011134231.1 hypothetical protein GNI_019210	1
XP_011134230.1 hypothetical protein GNI_019200	1
XP_011134205.1 hypothetical protein GNI_018410	1
XP_011134204.1 putative transmembrane protein	1
XP_011134203.1 hypothetical protein GNI_018390	1
XP_011134202.1 putative transmembrane protein	1
XP_011134201.1 putative dipeptidase	1
XP_011134200.1 hypothetical protein GNI_018360	1
XP_011134199.1 patched family protein	1
XP_011134198.1 phosducin	1
XP_011134197.1 alternative oxidase	1
XP_011134196.1 putative solute:sodium symporter...	1
XP_011134195.1 hypothetical protein GNI_018310	1
XP_011134194.1 alternative oxidase	1
XP_011134193.1 putative RNA recognition motif p...	1
XP_011134192.1 triose-phosphate transporter fam...	1
XP_011134191.1 GPI ethanolamine phosphate trans...	1
XP_011134190.1 hypothetical protein GNI_018260	1
XP_011134189.1 hypothetical protein GNI_018250	1
XP_011134188.1 EMG1/NEP1 methyltransferase	1
XP_011134187.1 dihydroorotate dehydrogenase	1
XP_011134186.1 glutathione S-transferase	1
XP_011134185.1 hypothetical protein GNI_018120	1
XP_011134206.1 hypothetical protein GNI_018420	1
XP_011134207.1 hypothetical protein GNI_018430	1
XP_011134208.1 hypothetical protein GNI_018440	1
XP_011134220.1 asparagine synthetase	1
XP_011134229.1 hypothetical protein GNI_019190,...	1
XP_011134228.1 putative folylpolyglutamate synt...	1
XP_011134227.1 RNA-binding protein	1
XP_011134226.1 hypothetical protein GNI_018890	1
XP_011134225.1 phosphopantothenoylcysteine deca...	1
XP_011134224.1 hypothetical protein GNI_018870	1
XP_011134223.1 hypothetical protein GNI_018860	1
XP_011134222.1 hypothetical protein GNI_018760	1
XP_011134221.1 hypothetical protein GNI_018750	1
XP_011134219.1 putative phosphoesterase	1
XP_011134209.1 hypothetical protein GNI_018450	1
XP_011134218.1 putative RNA recognition motif (...	1
XP_011134217.1 putative transmembrane protein	1
XP_011134216.1 sodium:neurotransmitter symporte...	1
XP_011134215.1 IBR domain protein	1
XP_011134214.1 hypothetical protein GNI_018680	1
XP_011134213.1 POPLD (NUC188) domain protein	1
XP_011134212.1 hypothetical protein GNI_018660,...	1
XP_011134211.1 putative integrin beta	1
XP_011134210.1 hypothetical protein GNI_018460	1
XP_011134280.1 hypothetical protein GNI_020430,...	1
XP_011134282.1 putative vacuolar ATP synthase s...	1
XP_011134380.1 DEAD-box ATP-dependent RNA helicase	1
XP_011134355.1 tRNA pseudouridine synthase	1
XP_011134353.1 hypothetical protein GNI_023590	1
XP_011134352.1 putative transmembrane protein, ...	1
XP_011134351.1 hypothetical protein GNI_023480,...	1
XP_011134350.1 hypothetical protein GNI_023380,...	1
XP_011134349.1 protein kinase	1
XP_011134348.1 hypothetical protein GNI_023270,...	1
XP_011134347.1 hypothetical protein GNI_023170,...	1
XP_011134346.1 putative triple helix collagen p...	1
XP_011134345.1 fibronectin-binding A, amine-ter...	1
XP_011134344.1 hypothetical protein GNI_023140	1
XP_011134343.1 ankyrin repeat protein, partial	1
XP_011134342.1 hypothetical protein GNI_023030	1
XP_011134341.1 hypothetical protein GNI_023020	1
XP_011134340.1 hypothetical protein GNI_023010	1
XP_011134339.1 putative protein kinase, partial	1
XP_011134338.1 hypothetical protein GNI_022810	1
XP_011134337.1 hypothetical protein GNI_022800	1
XP_011134336.1 hypothetical protein GNI_022790	1
XP_011134335.1 putative serine esterase	1
XP_011134334.1 tubulin-binding cofactor A	1
XP_011134333.1 hypothetical protein GNI_022670	1
XP_011134354.1 putative disulfide isomerase	1
XP_011134356.1 kinesin motor domain protein	1
XP_011134283.1 hypothetical protein GNI_020550	1
XP_011134357.1 5'-nucleotidase domain protein	1
XP_011134378.1 hypothetical protein GNI_024200	1
XP_011134377.1 hypothetical protein GNI_024100	1
XP_011134376.1 RING finger protein	1
XP_011134375.1 hypothetical protein GNI_024080,...	1
XP_011134374.1 hypothetical protein GNI_023980,...	1
XP_011134373.1 Ulp1 protease family, carboxy-te...	1
XP_011134372.1 major facilitator family transpo...	1
XP_011134371.1 protein serine/threonine kinase ...	1
XP_011134370.1 putative 40S ribosomal protein S19	1
XP_011134369.1 hypothetical protein GNI_023840	1
XP_011134368.1 5'-methylthioadenosine/S-adenosy...	1
XP_011134367.1 hypothetical protein GNI_023820	1
XP_011134366.1 alpha-glucosidase	1
XP_011134365.1 hypothetical protein GNI_023800	1
XP_011134364.1 hypothetical protein GNI_023790	1
XP_011134363.1 serine/threonine-protein phospha...	1
XP_011134362.1 hypothetical protein GNI_023770	1
XP_011134361.1 DnaJ domain protein	1
XP_011134360.1 swirm domain protein	1
XP_011134359.1 hypothetical protein GNI_023740	1
XP_011134358.1 putative adaptor complexes mediu...	1
XP_011134332.1 peptidase family M3 protein, par...	1
XP_011134331.1 hypothetical protein GNI_022560,...	1
XP_011134330.1 hypothetical protein GNI_022550,...	1
XP_011134329.1 peptidyl-dipeptidase	1
XP_011134304.1 zinc finger, C3HC4 type (RING fi...	1
XP_011134303.1 carbonic anhydrase	1
XP_011134302.1 putative transmembrane protein, ...	1
XP_011134301.1 FHA domain protein	1
XP_011134300.1 hypothetical protein GNI_021620	1
XP_011134299.1 C2H2 type zinc-finger protein	1
XP_011134298.1 hypothetical protein GNI_021600	1
XP_011134297.1 hypothetical protein GNI_021500	1
XP_011134296.1 hypothetical protein GNI_021490	1
XP_011134295.1 hypothetical protein GNI_021390	1
XP_011134294.1 hypothetical protein GNI_021380	1
XP_011134293.1 hypothetical protein GNI_021370	1
XP_011134292.1 hypothetical protein GNI_021270	1
XP_011134291.1 hypothetical protein GNI_021170	1
XP_011134290.1 hypothetical protein GNI_021160,...	1
XP_011134289.1 hypothetical protein GNI_021060,...	1
XP_011134288.1 hypothetical protein GNI_020960	1
XP_011134287.1 hypothetical protein GNI_020860,...	1
XP_011134286.1 putative endonuclease	1
XP_011134285.1 putative endoplasmic reticulum o...	1
XP_011134284.1 hypothetical protein GNI_020560,...	1
XP_011134305.1 hypothetical protein GNI_021850,...	1
XP_011134306.1 hypothetical protein GNI_021950,...	1
XP_011134307.1 putative transmembrane protein	1
XP_011134319.1 putative transmembrane protein	1
XP_011134328.1 hypothetical protein GNI_022440	1
XP_011134327.1 pyridoxine/pyridoxamine 5'-phosp...	1
XP_011134326.1 hypothetical protein GNI_022420	1
XP_011134325.1 leucine carboxyl methyltransferase	1
XP_011134324.1 putative leucine carboxyl methyl...	1
XP_011134323.1 hypothetical protein GNI_022390	1
XP_011134322.1 histone H4	1
XP_011134321.1 histone H2A	1
XP_011134320.1 putative transmembrane protein	1
XP_011134318.1 hypothetical protein GNI_022340	1
XP_011134308.1 histone acetyltransferase	1
XP_011134317.1 putative transmembrane protein, ...	1
XP_011134316.1 hypothetical protein GNI_022230	1
XP_011134315.1 hypothetical protein GNI_022130	1
XP_011134314.1 hypothetical protein GNI_022120	1
XP_011134313.1 Utp14, partial	1
XP_011134312.1 hypothetical protein GNI_022010	1
XP_011134311.1 hypothetical protein GNI_022000	1
XP_011134310.1 hypothetical protein GNI_021990	1
XP_011134309.1 hypothetical protein GNI_021980	1
XP_011134184.1 glutathione S-transferase	1
XP_011134183.1 hypothetical protein GNI_147700	1
XP_011134182.1 hypothetical protein GNI_147600,...	1
XP_011134059.1 hypothetical protein GNI_082290	1
XP_011134057.1 putative RNA helicase	1
XP_011134056.1 putative DUF895 domain membrane ...	1
XP_011134055.1 hypothetical protein GNI_082070	1
XP_011134054.1 ADP-ribosylation factor	1
XP_011134053.1 NMD3 family protein	1
XP_011134052.1 putative phosphatidylinositol-4-...	1
XP_011134051.1 hypothetical protein GNI_081940	1
XP_011134050.1 putative S1/P1nuclease	1
XP_011134049.1 C2 domain protein	1
XP_011134048.1 FACT complex subunit	1
XP_011134047.1 hypothetical protein GNI_081900	1
XP_011134046.1 60S ribosomal protein L30	1
XP_011134045.1 hypothetical protein GNI_081880	1
XP_011134044.1 hypothetical protein GNI_081870	1
XP_011134043.1 endomembrane family protein 70	1
XP_011134042.1 hypothetical protein GNI_081850	1
XP_011134041.1 putative calcium-dependent prote...	1
XP_011134040.1 hypothetical protein GNI_081830	1
XP_011134039.1 putative eukaryotic membrane pro...	1
XP_011134038.1 putative multiprotein bridging f...	1
XP_011134037.1 hypothetical protein GNI_081800	1
XP_011134058.1 hypothetical protein GNI_082280	1
XP_011134060.1 putative methyltransferase, partial	1
XP_011134181.1 putative transmembrane protein	1
XP_011134061.1 hypothetical protein GNI_082400	1
XP_011134082.1 hypothetical protein GNI_083240	1
XP_011134081.1 hypothetical protein GNI_083230	1
